name,language,region_state,tier,website,domain_verify,coverage_notes
Phulchhab,Gujarati,Saurashtra,district,phulchhab.com,pending,Saurashtra
Nobat,Gujarati,Jamnagar,district,nobat.com,pending,Jamnagar/Saurashtra
Malayala Manorama,Malayalam,Kerala,regional,manoramaonline.com,pending,Largest Malayalam daily; dense local
Mathrubhumi,Malayalam,Kerala,regional,mathrubhumi.com,pending,Statewide district net
Deshabhimani,Malayalam,Kerala,regional,deshabhimani.com,pending,Local desks
Madhyamam,Malayalam,Kerala,regional,madhyamam.com,pending,Statewide
Kerala Kaumudi,Malayalam,Kerala,regional,keralakaumudi.com,pending,Statewide
Mangalam,Malayalam,Kerala,district,mangalam.com,pending,Local
Ajit,Punjabi,Punjab,regional,ajitjalandhar.com,pending,Largest Punjabi daily
Punjabi Tribune,Punjabi,Punjab,regional,punjabitribuneonline.com,pending,Tribune group
Jagbani,Punjabi,Punjab,regional,jagbani.punjabkesari.in,pending,Punjab Kesari group
Rozana Spokesman,Punjabi,Punjab,district,rozanaspokesman.com,pending,Punjab local
Sambad,Odia,Odisha,regional,sambad.in,pending,Leading Odia daily; district editions
Dharitri,Odia,Odisha,regional,dharitri.com,pending,Statewide
The Samaja,Odia,Odisha,regional,thesamaja.in,pending,Statewide
Prameya,Odia,Odisha,district,prameyanews.com,pending,Odia + English
Asomiya Pratidin,Assamese,Assam,regional,asomiyapratidin.in,pending,Leading Assamese daily
The Sentinel,English,Assam,regional,sentinelassam.com,pending,NE English
Shillong Times,English,Meghalaya,district,theshillongtimes.com,pending,Meghalaya
Nagaland Post,English,Nagaland,district,nagalandpost.com,pending,Nagaland
Imphal Free Press,English,Manipur,district,ifp.co.in,pending,Manipur
Inquilab,Urdu,"Maharashtra, multi",regional,inquilab.com,pending,Urdu daily; Mumbai/UP
Siasat,Urdu,"Telangana (Hyderabad)",district,siasat.com,pending,Hyderabad/Deccan
Munsif Daily,Urdu,Telangana,district,munsifdaily.com,pending,Hyderabad
Etemaad,Urdu,Telangana,district,etemaaddaily.com,pending,Hyderabad
The Tribune,English,"Punjab, Haryana, HP, J&K",regional,tribuneindia.com,pending,North India district-strong
Deccan Herald,English,Karnataka,regional,deccanherald.com,pending,Karnataka + South
Deccan Chronicle,English,"Telangana, AP, TN",regional,deccanchronicle.com,pending,South city editions
The Telegraph,English,"West Bengal, East, NE",regional,telegraphindia.com,pending,East India
The New Indian Express,English,"South India",regional,newindianexpress.com,pending,South city desks
The Hitavada,English,"Vidarbha, Central India",district,thehitavada.com,pending,Nagpur/Central
Free Press Journal,English,"Maharashtra, MP",regional,freepressjournal.in,pending,Mumbai/MP
Orissa Post,English,Odisha,regional,orissapost.com,pending,Odisha English
Telangana Today,English,Telangana,regional,telanganatoday.com,pending,Telangana English
Herald Goa,English,Goa,district,heraldgoa.in,pending,Goa
The Goan,English,Goa,district,thegoan.net,pending,Goa
Greater Kashmir,English,Jammu & Kashmir,regional,greaterkashmir.com,pending,Kashmir valley
Daily Excelsior,English,Jammu & Kashmir,regional,dailyexcelsior.com,pending,Jammu region
Kashmir Reader,English,Jammu & Kashmir,district,kashmirreader.com,pending,Valley
Nagaland Page,English,Nagaland,district,nagalandpage.com,pending,Nagaland
Arunachal Times,English,Arunachal Pradesh,district,arunachaltimes.in,pending,Arunachal
Tripura Times,English,Tripura,district,tripuratimes.com,pending,Tripura
Meghalaya Monitor,English,Meghalaya,district,,pending,VERIFY existence/domain before use
Sikkim Express,English,Sikkim,district,sikkimexpress.com,pending,Sikkim
